product_name,price,stock_quantity,location,manufacturer,expiration_date,vending_machine_id,category
Duck - Legs,3.62,71,0 Thompson Center,Voonyx,2/5/2022,1,Beverages
Lobster - Tail 6 Oz,8.56,329,17 Hazelcrest Center,Topicware,3/25/2022,2,Snacks
Bread - French Stick,1.22,942,39 Donald Parkway,Livepath,10/31/2022,3,Snacks
Sprouts Dikon,8.57,549,00363 Linden Hill,Yambee,6/3/2023,4,Beverages
"Schnappes - Peach, Walkers",4.06,779,36 Aberg Park,Jaxworks,1/7/2023,5,Beverages
Wine - Beringer Founders Estate,4.79,693,36833 Thompson Pass,Feedspan,6/12/2023,6,Candy
Coffee - Irish Cream,8.21,915,57611 Dunning Point,Divanoodle,2/6/2023,7,Snacks
Bread - Italian Roll With Herbs,2.55,40,96048 Morning Hill,Muxo,4/4/2023,8,Candy
Nacho Chips,5.18,785,281 Morningstar Parkway,Twitterwire,12/20/2023,9,Candy
Lamb - Bones,9.34,774,1 Hagan Way,Browsetype,9/14/2023,10,Beverages
"Pepper - White, Ground",1.09,554,331 Melody Court,Einti,7/7/2023,11,Candy
Onions Granulated,9.9,626,56 Redwing Hill,Yombu,9/11/2023,12,Snacks
Pasta - Angel Hair,9.14,978,15592 Corben Place,Fliptune,11/7/2022,13,Snacks
Mix - Cocktail Strawberry Daiquiri,7.66,582,819 Sundown Place,Bluejam,3/21/2023,14,Snacks
"Zucchini - Mini, Green",1.66,863,18208 Melrose Junction,Pixonyx,4/16/2022,15,Beverages
Bread Base - Goodhearth,5.26,384,21 Norway Maple Road,Photojam,2/14/2023,16,Beverages
Cheese - Ermite Bleu,6.69,506,3 Moose Way,Realblab,7/9/2023,17,Beverages
Water - Spring 1.5lit,7.47,380,3 Melrose Way,Linkbuzz,5/6/2022,18,Beverages
Cup - Paper 10oz 92959,6.77,54,76626 Karstens Crossing,Realmix,2/3/2022,19,Beverages
Jack Daniels,6.22,365,51 Burrows Pass,Devify,4/14/2023,20,Snacks
"Shrimp - Baby, Warm Water",9.38,561,60408 Manley Street,Realbuzz,8/3/2023,21,Candy
Filo Dough,3.63,641,604 Homewood Street,Bubblebox,8/4/2023,22,Beverages
Sauce - Soy Low Sodium - 3.87l,2.46,590,02531 Ronald Regan Street,Abatz,4/29/2022,23,Candy
Lamb Rack Frenched Australian,1.2,441,61081 Sutteridge Lane,Oyoba,3/29/2023,24,Candy
Dried Apple,4.92,833,957 Cardinal Street,Omba,3/1/2023,25,Snacks
Sobe - Green Tea,2.71,762,2 Hollow Ridge Lane,Browsezoom,11/10/2023,26,Beverages
Foie Gras,6.88,754,0339 Pine View Junction,Browsedrive,6/20/2022,27,Snacks
Veal - Loin,7.48,872,44 Alpine Drive,Yoveo,4/12/2023,28,Beverages
Ice Cream Bar - Hagen Daz,9.23,758,44515 Drewry Lane,Devshare,7/5/2022,29,Snacks
"Stock - Beef, Brown",9.23,435,56988 Morrow Park,Voolia,10/28/2022,30,Candy
